Flask,Timepoint,mM_HCHO,Rep,CFU,CFU_ext
12S,16,4,A,109090.9091,109090.9091
12S,16,4,B,109090.9091,109090.9091
12S,16,4,C,81818.18182,81818.18182
12S,16,6,A,5818.181818,5818.181818
12S,16,6,B,7272.727273,7272.727273
12S,16,6,C,5454.545455,5454.545455
12S,16,8,A,0,90.90909091
12S,16,8,B,0,0
12S,16,8,C,0,0
12S,16,10,A,0,0
12S,16,10,B,0,0
12S,16,10,C,0,0
12S,16,12,A,0,0
12S,16,12,B,0,0
12S,16,12,C,0,0
10M,20,0,A,218181818.2,218181818.2
10M,20,0,B,227272727.3,227272727.3
10M,20,0,C,181818181.8,181818181.8
10M,20,2,A,90909090.91,90909090.91
10M,20,2,B,145454545.5,145454545.5
10M,20,2,C,190909090.9,190909090.9
10M,20,4,A,10000000,10000000
10M,20,4,B,10000000,10000000
10M,20,4,C,12727272.73,12727272.73
10M,20,6,A,4454545.455,4454545.455
10M,20,6,B,3454545.455,3454545.455
10M,20,6,C,4272727.273,4272727.273
10M,20,8,A,454545.4545,454545.4545
10M,20,8,B,1090909.091,1090909.091
10M,20,8,C,545454.5455,545454.5455
10M,20,10,A,0,90.90909091
10M,20,10,B,0,0
10M,20,10,C,0,0
10M,20,12,A,0,0
10M,20,12,B,0,0
10M,20,12,C,0,0
10S,20,0,A,118181818.2,118181818.2
10S,20,0,B,54545454.55,54545454.55
10S,20,0,C,45454545.45,45454545.45
10S,20,2,A,1090909.091,1090909.091
10S,20,2,B,1181818.182,1181818.182
10S,20,2,C,1636363.636,1636363.636
10S,20,4,A,54545.45455,54545.45455
10S,20,4,B,109090.9091,109090.9091
10S,20,4,C,90909.09091,90909.09091
10S,20,6,A,3272.727273,3272.727273
10S,20,6,B,2545.454545,2545.454545
10S,20,6,C,2818.181818,2818.181818
10S,20,8,A,0,90.90909091
10S,20,8,B,0,0
10S,20,8,C,0,0
10S,20,10,A,0,0
10S,20,10,B,0,0
10S,20,10,C,0,0
10S,20,12,A,0,0
10S,20,12,B,0,0
10S,20,12,C,0,0
11M,20,0,A,163636363.6,163636363.6
11M,20,0,B,163636363.6,163636363.6
11M,20,0,C,136363636.4,136363636.4
11M,20,2,A,181818181.8,181818181.8
11M,20,2,B,154545454.5,154545454.5
11M,20,2,C,72727272.73,72727272.73
11M,20,4,A,54545454.55,54545454.55
11M,20,4,B,72727272.73,72727272.73
11M,20,4,C,54545454.55,54545454.55
11M,20,6,A,63636363.64,63636363.64
11M,20,6,B,27272727.27,27272727.27
11M,20,6,C,100000000,100000000
11M,20,8,A,4545454.545,4545454.545
11M,20,8,B,4545454.545,4545454.545
11M,20,8,C,1818181.818,1818181.818
11M,20,10,A,0,90.90909091
11M,20,10,B,0,0
11M,20,10,C,0,0
11M,20,12,A,0,0
11M,20,12,B,0,0
11M,20,12,C,0,0
11S,20,0,A,44545454.55,44545454.55
11S,20,0,B,54545454.55,54545454.55
11S,20,0,C,63636363.64,63636363.64
11S,20,2,A,3000000,3000000
11S,20,2,B,2181818.182,2181818.182
11S,20,2,C,2090909.091,2090909.091
11S,20,4,A,1181818.182,1181818.182
11S,20,4,B,1181818.182,1181818.182
11S,20,4,C,1000000,1000000
11S,20,6,A,55454.54545,55454.54545
11S,20,6,B,27272.72727,27272.72727
11S,20,6,C,45454.54545,45454.54545
11S,20,8,A,0,90.90909091
11S,20,8,B,0,0
11S,20,8,C,0,0
11S,20,10,A,0,0
11S,20,10,B,0,0
11S,20,10,C,0,0
11S,20,12,A,0,0
11S,20,12,B,0,0
11S,20,12,C,0,0
12M,20,0,A,218181818.2,218181818.2
12M,20,0,B,118181818.2,118181818.2
12M,20,0,C,236363636.4,236363636.4
12M,20,2,A,109090909.1,109090909.1
12M,20,2,B,127272727.3,127272727.3
12M,20,2,C,100000000,100000000
12M,20,4,A,8181818.182,8181818.182
12M,20,4,B,7272727.273,7272727.273
12M,20,4,C,10909090.91,10909090.91
12M,20,6,A,4545454.545,4545454.545
12M,20,6,B,5454545.455,5454545.455
12M,20,6,C,4545454.545,4545454.545
12M,20,8,A,481818.1818,481818.1818
12M,20,8,B,436363.6364,436363.6364
12M,20,8,C,372727.2727,372727.2727
12M,20,10,A,0,90.90909091
12M,20,10,B,0,0
12M,20,10,C,0,0
12M,20,12,A,0,0
12M,20,12,B,0,0
12M,20,12,C,0,0
12S,20,0,A,109090909.1,109090909.1
12S,20,0,B,90909090.91,90909090.91
12S,20,0,C,90909090.91,90909090.91
12S,20,2,A,2090909.091,2090909.091
12S,20,2,B,2272727.273,2272727.273
12S,20,2,C,2363636.364,2363636.364
12S,20,4,A,109090.9091,109090.9091
12S,20,4,B,81818.18182,81818.18182
12S,20,4,C,145454.5455,145454.5455
12S,20,6,A,15454.54545,15454.54545
12S,20,6,B,4545.454545,4545.454545
12S,20,6,C,8181.818182,8181.818182
12S,20,8,A,0,90.90909091
12S,20,8,B,0,0
12S,20,8,C,0,0
12S,20,10,A,0,0
